names,scores,logfoldchanges,pvals,pvals_adj,log2fc
TPD52L1,99.6942,3.6260173,0.0,0.0,3.6260173
HMGN1,99.691895,1.4763422,0.0,0.0,1.4763422
PDZK1IP1,99.56999,6.4967637,0.0,0.0,6.4967637
SH3YL1,99.515526,2.5453513,0.0,0.0,2.5453513
CREB3L4,99.0614,4.3218207,0.0,0.0,4.3218207
ATP5G1,98.9614,1.6336379,0.0,0.0,1.6336379
RBM47,98.42765,3.0388455,0.0,0.0,3.0388455
SYNGR2,98.21412,1.6094999,0.0,0.0,1.6094999
CALML5,98.209145,6.1550055,0.0,0.0,6.1550055
POLR2I,98.20793,1.8171918,0.0,0.0,1.8171918
AGR3,98.2031,5.779249,0.0,0.0,5.779249
IDH2,97.67016,2.0314467,0.0,0.0,2.0314467
SMS,97.54588,1.8624252,0.0,0.0,1.8624252
DCTPP1,97.46577,2.412317,0.0,0.0,2.412317
RHOB,97.35384,1.7624038,0.0,0.0,1.7624038
TOMM20,97.28672,1.4943001,0.0,0.0,1.4943001
NQO1,97.28571,3.1278152,0.0,0.0,3.1278152
EHF,97.02241,6.2136865,0.0,0.0,6.2136865
TXN,96.93843,1.4935107,0.0,0.0,1.4935107
MRPL14,96.840324,1.7906104,0.0,0.0,1.7906104
BAMBI,96.63084,4.3408093,0.0,0.0,4.3408093
NDUFC1,96.57136,1.6212612,0.0,0.0,1.6212612
HDLBP,96.41432,1.7473449,0.0,0.0,1.7473449
PRDX1,96.39252,1.4054283,0.0,0.0,1.4054283
TMEM9,96.38353,2.3451931,0.0,0.0,2.3451931
RAB13,96.369965,1.6365851,0.0,0.0,1.6365851
ABHD11,96.28699,3.5679917,0.0,0.0,3.5679917
MIEN1,96.26243,1.8552349,0.0,0.0,1.8552349
C14orf2,96.250984,1.5186734,0.0,0.0,1.5186734
LRRC26,96.24225,6.2324514,0.0,0.0,6.2324514
ARPC1A,96.18696,1.6574898,0.0,0.0,1.6574898
ATP5J2,96.0702,1.5137802,0.0,0.0,1.5137802
PPA1,95.81826,1.5940394,0.0,0.0,1.5940394
WFDC2,95.66631,5.159635,0.0,0.0,5.159635
CD151,95.5572,1.5591309,0.0,0.0,1.5591309
HMG20B,95.38532,2.05346,0.0,0.0,2.05346
UQCC3,94.87717,2.3613658,0.0,0.0,2.3613658
PDCD6,94.84805,1.5276858,0.0,0.0,1.5276858
